CRN,Term,Time,"Times 2nd (lab, etc)",Instructors,Course Link,meeting_details
1658,2 (Winter 2025),08:30 AM-10:15 AM TR,,"B. De Stasio
E. De Stasio
R. Theisen",term_in=202520&crn_in=1658&subj_code_in=BIOL&crse_numb_in=650,08:30 AM-10:15 AM TR      STEI 202
1066,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1066&subj_code_in=BIOL&crse_numb_in=690,Arranged
1067,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1067&subj_code_in=BIOL&crse_numb_in=691,Arranged
1068,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1068&subj_code_in=BIOL&crse_numb_in=699,Arranged
3689,3 (Spring 2024),03:10 PM-04:20 PM MWF,01:00 PM-04:00 PM T,A. Hakes,term_in=202430&crn_in=3689&subj_code_in=BIOL&crse_numb_in=135,"03:10 PM-04:20 PM MWF     YOUN 121
01:00 PM-04:00 PM T       YOUN 326"
3690,3 (Spring 2024),03:10 PM-04:20 PM MWF,01:00 PM-04:00 PM R,A. Hakes,term_in=202430&crn_in=3690&subj_code_in=BIOL&crse_numb_in=135,"03:10 PM-04:20 PM MWF     YOUN 121
01:00 PM-04:00 PM R       YOUN 326"
3695,3 (Spring 2024),01:50 PM-03:00 PM MWF,01:00 PM-04:00 PM T,K. Webb,term_in=202430&crn_in=3695&subj_code_in=BIOL&crse_numb_in=150,"01:50 PM-03:00 PM MWF     YOUN 121
01:00 PM-04:00 PM T       YOUN 333"
3696,3 (Spring 2024),01:50 PM-03:00 PM MWF,01:00 PM-04:00 PM R,K. Webb,term_in=202430&crn_in=3696&subj_code_in=BIOL&crse_numb_in=150,"01:50 PM-03:00 PM MWF     YOUN 121
01:00 PM-04:00 PM R       YOUN 333"
3069,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3069&subj_code_in=BIOL&crse_numb_in=191,Arranged
3698,3 (Spring 2024),11:10 AM-12:20 PM MWF,01:00 PM-04:00 PM T,B. Piasecki,term_in=202430&crn_in=3698&subj_code_in=BIOL&crse_numb_in=226,"11:10 AM-12:20 PM MWF     STEI 102
01:00 PM-04:00 PM T       STEI 322"
3699,3 (Spring 2024),11:10 AM-12:20 PM MWF,01:00 PM-04:00 PM R,B. Piasecki,term_in=202430&crn_in=3699&subj_code_in=BIOL&crse_numb_in=226,"11:10 AM-12:20 PM MWF     STEI 102
01:00 PM-04:00 PM R       STEI 322"
4018,3 (Spring 2024),11:10 AM-12:20 PM MWF,01:00 PM-04:00 PM R,B. Piasecki,term_in=202430&crn_in=4018&subj_code_in=BIOL&crse_numb_in=226,"11:10 AM-12:20 PM MWF     STEI 102
01:00 PM-04:00 PM R       STEI 322"
3680,3 (Spring 2024),08:30 AM-09:40 AM MWF,01:00 PM-04:00 PM T,E. De Stasio,term_in=202430&crn_in=3680&subj_code_in=BIOL&crse_numb_in=260,"08:30 AM-09:40 AM MWF     YOUN 041
01:00 PM-04:00 PM T       STEI 316"
3701,3 (Spring 2024),10:25 AM-12:10 PM TR,01:00 PM-04:00 PM T,J. Sedlock,term_in=202430&crn_in=3701&subj_code_in=BIOL&crse_numb_in=345,"10:25 AM-12:10 PM TR      YOUN 041
01:00 PM-04:00 PM T       STEI 302"
3702,3 (Spring 2024),10:25 AM-12:10 PM TR,01:00 PM-04:00 PM R,J. Sedlock,term_in=202430&crn_in=3702&subj_code_in=BIOL&crse_numb_in=345,"10:25 AM-12:10 PM TR      YOUN 041
01:00 PM-04:00 PM R       STEI 302"
3683,3 (Spring 2024),08:30 AM-09:40 AM MWF,08:30 AM-11:30 AM R,S. Davis,term_in=202430&crn_in=3683&subj_code_in=BIOL&crse_numb_in=354,"08:30 AM-09:40 AM MWF     STEI 202
08:30 AM-11:30 AM R       STEI 021"
3684,3 (Spring 2024),08:30 AM-09:40 AM MWF,01:00 PM-04:00 PM R,S. Davis,term_in=202430&crn_in=3684&subj_code_in=BIOL&crse_numb_in=354,"08:30 AM-09:40 AM MWF     STEI 202
01:00 PM-04:00 PM R       STEI 021"
3070,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3070&subj_code_in=BIOL&crse_numb_in=390,Arranged
3071,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3071&subj_code_in=BIOL&crse_numb_in=391,Arranged
3072,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3072&subj_code_in=BIOL&crse_numb_in=399,Arranged
3675,3 (Spring 2024),10:25 AM-12:10 PM TR,,B. De Stasio,term_in=202430&crn_in=3675&subj_code_in=BIOL&crse_numb_in=433,10:25 AM-12:10 PM TR      STEI 202
3612,3 (Spring 2024),08:30 AM-09:40 AM MWF,08:30 AM-11:30 AM T,K. Culhane,term_in=202430&crn_in=3612&subj_code_in=BIOL&crse_numb_in=444,"08:30 AM-09:40 AM MWF     YOUN 121
08:30 AM-11:30 AM T       STEI 216"
3613,3 (Spring 2024),08:30 AM-09:40 AM MWF,01:00 PM-04:00 PM T,K. Culhane,term_in=202430&crn_in=3613&subj_code_in=BIOL&crse_numb_in=444,"08:30 AM-09:40 AM MWF     YOUN 121
01:00 PM-04:00 PM T       STEI 216"
3686,3 (Spring 2024),09:50 AM-11:00 AM MWF,08:30 AM-11:30 AM T,K. Dickson,term_in=202430&crn_in=3686&subj_code_in=BIOL&crse_numb_in=465,"09:50 AM-11:00 AM MWF     STEI 230
08:30 AM-11:30 AM T       STEI 230"
3687,3 (Spring 2024),09:50 AM-11:00 AM MWF,01:00 PM-04:00 PM T,K. Dickson,term_in=202430&crn_in=3687&subj_code_in=BIOL&crse_numb_in=465,"09:50 AM-11:00 AM MWF     STEI 230
01:00 PM-04:00 PM T       STEI 021"
3677,3 (Spring 2024),09:50 AM-11:00 AM MWF,01:00 PM-04:00 PM W,B. De Stasio,term_in=202430&crn_in=3677&subj_code_in=BIOL&crse_numb_in=505,"09:50 AM-11:00 AM MWF     STEI 202
01:00 PM-04:00 PM W       YOUN 321"
3073,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3073&subj_code_in=BIOL&crse_numb_in=590,Arranged
3074,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3074&subj_code_in=BIOL&crse_numb_in=591,Arranged
3075,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3075&subj_code_in=BIOL&crse_numb_in=599,Arranged
3744,3 (Spring 2024),03:10 PM-04:20 PM M,,J. Sedlock,term_in=202430&crn_in=3744&subj_code_in=BIOL&crse_numb_in=600,03:10 PM-04:20 PM M       STEI 102
3743,3 (Spring 2024),,,R. Theisen,term_in=202430&crn_in=3743&subj_code_in=BIOL&crse_numb_in=650,Arranged
3076,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3076&subj_code_in=BIOL&crse_numb_in=690,Arranged
3077,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3077&subj_code_in=BIOL&crse_numb_in=691,Arranged
3078,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3078&subj_code_in=BIOL&crse_numb_in=699,Arranged
3671,3 (Spring 2025),03:10 PM-04:20 PM MWF,01:00 PM-04:00 PM T,Staff,term_in=202530&crn_in=3671&subj_code_in=BIOL&crse_numb_in=135,"03:10 PM-04:20 PM MWF     YOUN 121
01:00 PM-04:00 PM T       YOUN 326"
3672,3 (Spring 2025),03:10 PM-04:20 PM MWF,01:00 PM-04:00 PM R,Staff,term_in=202530&crn_in=3672&subj_code_in=BIOL&crse_numb_in=135,"03:10 PM-04:20 PM MWF     YOUN 121
01:00 PM-04:00 PM R       YOUN 326"
3664,3 (Spring 2025),01:50 PM-03:00 PM MWF,01:00 PM-04:00 PM T,J. Humphries,term_in=202530&crn_in=3664&subj_code_in=BIOL&crse_numb_in=150,"01:50 PM-03:00 PM MWF     YOUN 121
01:00 PM-04:00 PM T       YOUN 333"
3665,3 (Spring 2025),01:50 PM-03:00 PM MWF,01:00 PM-04:00 PM R,J. Humphries,term_in=202530&crn_in=3665&subj_code_in=BIOL&crse_numb_in=150,"01:50 PM-03:00 PM MWF     YOUN 121
01:00 PM-04:00 PM R       YOUN 333"
3061,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3061&subj_code_in=BIOL&crse_numb_in=191,Arranged
3667,3 (Spring 2025),09:50 AM-11:00 AM MWF,08:30 AM-11:30 AM T,B. Piasecki,term_in=202530&crn_in=3667&subj_code_in=BIOL&crse_numb_in=226,"09:50 AM-11:00 AM MWF     STEI 202
08:30 AM-11:30 AM T       STEI 322"
3668,3 (Spring 2025),09:50 AM-11:00 AM MWF,01:00 PM-04:00 PM T,B. Piasecki,term_in=202530&crn_in=3668&subj_code_in=BIOL&crse_numb_in=226,"09:50 AM-11:00 AM MWF     STEI 202
01:00 PM-04:00 PM T       STEI 322"
3658,3 (Spring 2025),08:30 AM-10:15 AM TR,01:00 PM-04:00 PM T,A. Hakes,term_in=202530&crn_in=3658&subj_code_in=BIOL&crse_numb_in=335,"08:30 AM-10:15 AM TR      STEI 202
01:00 PM-04:00 PM T       STEI 021"
3659,3 (Spring 2025),08:30 AM-10:15 AM TR,01:00 PM-04:00 PM R,A. Hakes,term_in=202530&crn_in=3659&subj_code_in=BIOL&crse_numb_in=335,"08:30 AM-10:15 AM TR      STEI 202
01:00 PM-04:00 PM R       STEI 021"
3669,3 (Spring 2025),01:50 PM-03:00 PM MWF,01:00 PM-04:00 PM R,K. Dickson,term_in=202530&crn_in=3669&subj_code_in=BIOL&crse_numb_in=354,"01:50 PM-03:00 PM MWF     YOUN 041
01:00 PM-04:00 PM R       STEI 316"
3062,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3062&subj_code_in=BIOL&crse_numb_in=390,Arranged
3063,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3063&subj_code_in=BIOL&crse_numb_in=391,Arranged
3064,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3064&subj_code_in=BIOL&crse_numb_in=399,Arranged
4060,3 (Spring 2025),11:10 AM-12:20 PM MWF,01:00 PM-04:00 PM T,K. Webb,term_in=202530&crn_in=4060&subj_code_in=BIOL&crse_numb_in=450,"11:10 AM-12:20 PM MWF     BRIG 420
01:00 PM-04:00 PM T       STEI 128"
4061,3 (Spring 2025),11:10 AM-12:20 PM MWF,01:00 PM-04:00 PM R,K. Webb,term_in=202530&crn_in=4061&subj_code_in=BIOL&crse_numb_in=450,"11:10 AM-12:20 PM MWF     BRIG 420
01:00 PM-04:00 PM R       STEI 128"
3789,3 (Spring 2025),11:10 AM-12:20 PM MWF,,K. Culhane,term_in=202530&crn_in=3789&subj_code_in=BIOL&crse_numb_in=455,11:10 AM-12:20 PM MWF     STEI 202
3065,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3065&subj_code_in=BIOL&crse_numb_in=590,Arranged
3066,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3066&subj_code_in=BIOL&crse_numb_in=591,Arranged
3067,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3067&subj_code_in=BIOL&crse_numb_in=599,Arranged
3739,3 (Spring 2025),03:10 PM-04:20 PM M,,J. Humphries,term_in=202530&crn_in=3739&subj_code_in=BIOL&crse_numb_in=600,03:10 PM-04:20 PM M       WRIS 224
3740,3 (Spring 2025),,,R. Theisen,term_in=202530&crn_in=3740&subj_code_in=BIOL&crse_numb_in=650,Arranged
3068,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3068&subj_code_in=BIOL&crse_numb_in=690,Arranged
3069,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3069&subj_code_in=BIOL&crse_numb_in=691,Arranged
3070,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3070&subj_code_in=BIOL&crse_numb_in=699,Arranged
5991,1 (Fall 2023),01:50 PM-03:00 PM MWF,,W. Hixon,term_in=202350&crn_in=5991&subj_code_in=BUEN&crse_numb_in=100,01:50 PM-03:00 PM MWF     STEI 102
5992,1 (Fall 2023),08:30 AM-09:40 AM MWF,,M. Diederich,term_in=202350&crn_in=5992&subj_code_in=BUEN&crse_numb_in=120,08:30 AM-09:40 AM MWF     STEI 202
6107,1 (Fall 2023),09:50 AM-11:00 AM MWF,,M. Diederich,term_in=202350&crn_in=6107&subj_code_in=BUEN&crse_numb_in=120,09:50 AM-11:00 AM MWF     STEI 202
5763,1 (Fall 2024),10:25 AM-12:10 PM TR,,W. Hixon,term_in=202450&crn_in=5763&subj_code_in=BUEN&crse_numb_in=100,10:25 AM-12:10 PM TR      STEI 102
5764,1 (Fall 2024),09:50 AM-11:00 AM MWF,,M. Diederich,term_in=202450&crn_in=5764&subj_code_in=BUEN&crse_numb_in=120,09:50 AM-11:00 AM MWF     MEMO 105
5766,1 (Fall 2024),08:30 AM-09:40 AM MWF,,M. Diederich,term_in=202450&crn_in=5766&subj_code_in=BUEN&crse_numb_in=120,08:30 AM-09:40 AM MWF     STEI 102
5768,1 (Fall 2024),08:30 AM-10:15 AM TR,,K. Bussone,term_in=202450&crn_in=5768&subj_code_in=BUEN&crse_numb_in=220,08:30 AM-10:15 AM TR      BRIG 420
5904,1 (Fall 2024),08:30 AM-09:40 AM MWF,,B. Schlabach,term_in=202450&crn_in=5904&subj_code_in=BUEN&crse_numb_in=307,08:30 AM-09:40 AM MWF     MAIN 401
5972,1 (Fall 2024),01:50 PM-03:00 PM MWF,,B. Vance,term_in=202450&crn_in=5972&subj_code_in=BUEN&crse_numb_in=358,01:50 PM-03:00 PM MWF     BRIG 225
5884,1 (Fall 2024),12:40 PM-02:25 PM TR,,K. Bussone,term_in=202450&crn_in=5884&subj_code_in=BUEN&crse_numb_in=361,12:40 PM-02:25 PM TR      BRIG 420
5840,1 (Fall 2024),11:10 AM-12:20 PM MWF,,M. Clayville,term_in=202450&crn_in=5840&subj_code_in=BUEN&crse_numb_in=440,11:10 AM-12:20 PM MWF     BRIG 420
2077,2 (Winter 2024),01:50 PM-03:00 PM MWF,,W. Hixon,term_in=202420&crn_in=2077&subj_code_in=BUEN&crse_numb_in=100,01:50 PM-03:00 PM MWF     BRIG 420
2078,2 (Winter 2024),10:25 AM-12:10 PM TR,,"R. Cannizzo
J. Johnson",term_in=202420&crn_in=2078&subj_code_in=BUEN&crse_numb_in=150,10:25 AM-12:10 PM TR      MUSI 146
2004,2 (Winter 2024),08:30 AM-09:40 AM MWF,,K. Bussone,term_in=202420&crn_in=2004&subj_code_in=BUEN&crse_numb_in=220,08:30 AM-09:40 AM MWF     MEMO 002
2141,2 (Winter 2024),03:10 PM-04:20 PM MWF,,V. Nguyen,term_in=202420&crn_in=2141&subj_code_in=BUEN&crse_numb_in=221,03:10 PM-04:20 PM MWF     BRIG 223
2087,2 (Winter 2024),01:50 PM-03:00 PM MWF,,B. Schlabach,term_in=202420&crn_in=2087&subj_code_in=BUEN&crse_numb_in=307,01:50 PM-03:00 PM MWF     BRIG 206
2011,2 (Winter 2024),03:10 PM-04:20 PM MWF,,C. Skran,term_in=202420&crn_in=2011&subj_code_in=BUEN&crse_numb_in=401,03:10 PM-04:20 PM MWF     BRIG 206
2132,2 (Winter 2024),09:50 AM-11:00 AM MWF,,D. Gerard,term_in=202420&crn_in=2132&subj_code_in=BUEN&crse_numb_in=450,09:50 AM-11:00 AM MWF     BRIG 217
2109,2 (Winter 2024),11:10 AM-12:20 PM MWF,,G. Vaughan,term_in=202420&crn_in=2109&subj_code_in=BUEN&crse_numb_in=495,11:10 AM-12:20 PM MWF     BRIG 224
1719,2 (Winter 2025),10:25 AM-12:10 PM TR,,W. Hixon,term_in=202520&crn_in=1719&subj_code_in=BUEN&crse_numb_in=100,10:25 AM-12:10 PM TR      BRIG 420
2082,2 (Winter 2025),10:25 AM-12:10 PM TR,,"R. Cannizzo
J. Johnson",term_in=202520&crn_in=2082&subj_code_in=BUEN&crse_numb_in=150,10:25 AM-12:10 PM TR       
1720,2 (Winter 2025),08:30 AM-09:40 AM MWF,,K. Bussone,term_in=202520&crn_in=1720&subj_code_in=BUEN&crse_numb_in=220,08:30 AM-09:40 AM MWF     MEMO 002
1905,2 (Winter 2025),09:50 AM-11:00 AM MWF,,D. Duncombe,term_in=202520&crn_in=1905&subj_code_in=BUEN&crse_numb_in=350,09:50 AM-11:00 AM MWF     BRIG 206
1906,2 (Winter 2025),02:35 PM-04:20 PM TR,,"C. Skran
D. Gerard",term_in=202520&crn_in=1906&subj_code_in=BUEN&crse_numb_in=370,02:35 PM-04:20 PM TR      BRIG 217
1806,2 (Winter 2025),12:40 PM-02:25 PM R,,C. Skran,term_in=202520&crn_in=1806&subj_code_in=BUEN&crse_numb_in=594,12:40 PM-02:25 PM R       BRIG 224
4002,3 (Spring 2024),01:50 PM-03:00 PM MWF,,M. Smith,term_in=202430&crn_in=4002&subj_code_in=BUEN&crse_numb_in=100,01:50 PM-03:00 PM MWF     MAIN 005
4124,3 (Spring 2024),11:10 AM-12:20 PM MWF,,M. Smith,term_in=202430&crn_in=4124&subj_code_in=BUEN&crse_numb_in=100,11:10 AM-12:20 PM MWF     MAIN 005
4003,3 (Spring 2024),08:30 AM-09:40 AM MWF,,M. Diederich,term_in=202430&crn_in=4003&subj_code_in=BUEN&crse_numb_in=120,08:30 AM-09:40 AM MWF     BRIG 420
4005,3 (Spring 2024),09:50 AM-11:00 AM MWF,,M. Clayville,term_in=202430&crn_in=4005&subj_code_in=BUEN&crse_numb_in=250,09:50 AM-11:00 AM MWF     WRIS 224
4125,3 (Spring 2024),03:10 PM-04:20 PM MWF,,E. Momkus,term_in=202430&crn_in=4125&subj_code_in=BUEN&crse_numb_in=270,03:10 PM-04:20 PM MWF     BRIG 225
4076,3 (Spring 2024),02:35 PM-04:20 PM TR,,"J. Smith
S. Colon",term_in=202430&crn_in=4076&subj_code_in=BUEN&crse_numb_in=342,02:35 PM-04:20 PM TR      BRIG 224
4129,3 (Spring 2024),10:25 AM-12:10 PM TR,,K. Bussone,term_in=202430&crn_in=4129&subj_code_in=BUEN&crse_numb_in=360,10:25 AM-12:10 PM TR      BRIG 420
4007,3 (Spring 2024),06:30 PM-08:50 PM M,11:00 AM-12:10 PM R,"A. Galambos
S. Shivaram",term_in=202430&crn_in=4007&subj_code_in=BUEN&crse_numb_in=365,"06:30 PM-08:50 PM M       LIBR 218
11:00 AM-12:10 PM R       MEMO 002"
4037,3 (Spring 2024),03:10 PM-04:20 PM MWF,,C. Skran,term_in=202430&crn_in=4037&subj_code_in=BUEN&crse_numb_in=401,03:10 PM-04:20 PM MWF     BRIG 217
4091,3 (Spring 2024),11:10 AM-12:20 PM MWF,,M. Clayville,term_in=202430&crn_in=4091&subj_code_in=BUEN&crse_numb_in=440,11:10 AM-12:20 PM MWF     BRIG 217
4127,3 (Spring 2024),10:25 AM-12:10 PM TR,,D. Gerard,term_in=202430&crn_in=4127&subj_code_in=BUEN&crse_numb_in=444,10:25 AM-12:10 PM TR      BRIG 217
4014,3 (Spring 2024),12:40 PM-02:25 PM R,,C. Skran,term_in=202430&crn_in=4014&subj_code_in=BUEN&crse_numb_in=594,12:40 PM-02:25 PM R       BRIG 223
4008,3 (Spring 2024),10:25 AM-12:10 PM T,,M. Clayville,term_in=202430&crn_in=4008&subj_code_in=BUEN&crse_numb_in=600,10:25 AM-12:10 PM T       MAIN 401
3753,3 (Spring 2025),11:10 AM-12:20 PM MWF,,M. Smith,term_in=202530&crn_in=3753&subj_code_in=BUEN&crse_numb_in=100,11:10 AM-12:20 PM MWF     MAIN 211
3754,3 (Spring 2025),01:50 PM-03:00 PM MWF,,M. Smith,term_in=202530&crn_in=3754&subj_code_in=BUEN&crse_numb_in=100,01:50 PM-03:00 PM MWF     MAIN 216
3755,3 (Spring 2025),08:30 AM-09:40 AM MWF,,M. Diederich,term_in=202530&crn_in=3755&subj_code_in=BUEN&crse_numb_in=120,08:30 AM-09:40 AM MWF     BRIG 420
3757,3 (Spring 2025),09:50 AM-11:00 AM MWF,,M. Clayville,term_in=202530&crn_in=3757&subj_code_in=BUEN&crse_numb_in=250,09:50 AM-11:00 AM MWF     STEI 102
3759,3 (Spring 2025),11:10 AM-12:20 PM MWF,,M. Clayville,term_in=202530&crn_in=3759&subj_code_in=BUEN&crse_numb_in=250,11:10 AM-12:20 PM MWF     STEI 102
3836,3 (Spring 2025),10:25 AM-12:10 PM TR,,E. Momkus,term_in=202530&crn_in=3836&subj_code_in=BUEN&crse_numb_in=270,10:25 AM-12:10 PM TR      BRIG 225
3902,3 (Spring 2025),08:30 AM-10:15 AM TR,,K. Bussone,term_in=202530&crn_in=3902&subj_code_in=BUEN&crse_numb_in=295,08:30 AM-10:15 AM TR      MEMO 002
4085,3 (Spring 2025),09:50 AM-11:00 AM MWF,,D. Chang,term_in=202530&crn_in=4085&subj_code_in=BUEN&crse_numb_in=310,09:50 AM-11:00 AM MWF     MAIN 211
3995,3 (Spring 2025),10:25 AM-12:10 PM TR,,G. Fares,term_in=202530&crn_in=3995&subj_code_in=BUEN&crse_numb_in=315,10:25 AM-12:10 PM TR      MAIN 003
4114,3 (Spring 2025),02:35 PM-04:20 PM TR,,J. Smith,term_in=202530&crn_in=4114&subj_code_in=BUEN&crse_numb_in=342,02:35 PM-04:20 PM TR      BRIG 225
3832,3 (Spring 2025),08:30 AM-10:15 AM TR,,W. Hixon,term_in=202530&crn_in=3832&subj_code_in=BUEN&crse_numb_in=355,08:30 AM-10:15 AM TR      BRIG 420
